# Original data points
1994.000000 0.001060
1995.000000 0.026109
1996.000000 0.056624
1997.000000 0.194910
1998.000000 0.255307
1999.000000 0.444416
2000.000000 0.925564
2001.000000 2.018610
2002.000000 2.134140
2003.000000 2.387020
2004.000000 2.600290
2007.000000 5.786270
2008.000000 7.917480
2009.000000 6.920000
2010.000000 10.920000
2011.000000 12.280000
2012.000000 14.520000
2013.000000 14.940000
2014.000000 17.143200
2017.000000 32.335800
2018.000000 39.904600
2019.000000 47.690600
2020.000000 53.726500
2021.000000 62.104500
2022.000000 66.484600
2023.000000 69.208400


# Regression curve
1994 -0.247905
1995 0.096494
1996 0.350137
1997 0.540755
1998 0.696083
1999 0.843854
2000 1.011800
2001 1.227656
2002 1.519153
2003 1.914026
2004 2.440007
2005 3.124829
2006 3.996226
2007 5.081932
2008 6.409678
2009 8.007198
2010 9.902226
2011 12.122494
2012 14.695736
2013 17.649685
2014 21.012073
2015 24.810635
2016 29.073103
2017 33.827211
2018 39.100691
2019 44.921277
2020 51.316701
2021 58.314698
2022 65.943000
2023 74.229341
2024 83.201453
2025 92.887069
2026 103.313924
2027 114.509749
2028 126.502279
2029 139.319246
2030 152.988383
2031 167.537424
2032 182.994102
2033 199.386150
2034 216.741301
2035 235.087288
